0	6	0.69	0.26	0.82
0	14	0.53	0.13	0.88
0	38	0.59	0.33	0.20
0	46	0.17	0.51	0.88
0	52	0.94	0.78	0.11
0	60	0.23	0.45	0.91
0	63	1.00	0.28	0.57
0	70	0.36	0.62	0.96
0	84	0.16	0.33	0.11
0	90	0.98	0.33	0.56
0	94	0.03	0.13	0.59
0	100	0.46	0.10	0.17
0	109	0.16	0.19	0.17
0	111	0.18	0.02	0.59
0	118	0.54	0.93	0.45
0	129	0.77	0.88	0.28
0	130	0.32	0.97	0.66
0	134	0.05	0.38	0.97
0	144	0.26	0.42	0.15
0	145	0.70	0.56	0.38
0	148	0.66	0.22	0.92
0	149	0.22	0.71	0.93
0	170	0.65	0.69	0.20
0	177	0.47	0.84	0.89
0	185	0.18	0.63	0.71
0	194	0.76	0.43	0.98
0	269	0.99	0.64	0.14
0	566	0.19	0.50	0.70
0	452	0.80	0.33	0.79
0	454	0.13	0.68	0.68
0	628	0.33	0.49	0.34
0	719	0.83	0.65	0.53
1	3	0.46	0.51	0.11
1	20	0.54	0.32	0.25
1	40	0.63	0.55	0.87
1	47	0.34	0.31	0.11
1	49	0.93	0.03	0.52
1	52	0.60	0.20	0.53
1	54	0.25	0.61	0.93
1	59	0.88	0.87	0.01
1	71	0.29	0.00	0.99
1	73	0.73	0.48	0.86
1	92	0.93	0.92	0.04
1	104	0.91	0.69	0.98
1	105	0.89	0.77	0.12
1	121	0.60	0.17	0.37
1	162	0.37	0.34	0.39
1	163	0.81	0.07	0.00
1	164	0.08	0.50	0.49
1	178	0.13	0.64	0.46
1	185	0.84	0.77	0.62
1	186	0.21	0.21	0.72
1	193	0.61	0.13	0.86
1	199	0.79	0.35	0.89
1	279	0.57	0.06	0.74
1	380	0.64	0.64	0.89
1	582	0.60	0.53	0.05
1	691	0.57	0.90	0.12
2	5	0.77	0.18	0.31
2	8	0.40	0.41	0.30
2	11	0.66	0.90	0.59
2	21	0.61	0.87	0.58
2	22	0.82	0.10	0.86
2	25	0.70	0.66	0.57
2	28	0.11	0.77	0.67
2	31	0.67	0.63	0.73
2	41	0.91	0.38	0.96
2	50	0.00	0.16	0.60
2	51	0.64	0.71	0.98
2	52	0.53	0.66	0.07
2	56	0.93	0.79	0.54
2	66	0.24	0.86	0.01
2	69	0.56	0.29	0.22
2	77	0.29	0.07	0.79
2	85	0.97	0.59	0.36
2	89	0.10	0.38	0.96
2	104	0.15	0.82	0.47
2	108	0.16	0.78	0.63
2	109	0.89	0.75	0.76
2	118	0.72	0.51	0.89
2	120	0.78	0.70	0.61
2	121	0.57	0.95	0.47
2	126	0.00	0.15	0.54
2	131	0.86	0.57	0.83
2	135	0.11	0.64	0.24
2	143	0.25	0.21	0.84
2	152	1.00	0.30	0.71
2	163	0.75	0.28	0.12
2	164	0.78	0.24	0.74
2	174	0.35	0.94	0.66
2	266	0.01	0.09	0.18
2	531	0.50	0.68	0.47
2	569	0.41	0.44	0.01
3	7	0.10	0.52	0.95
3	13	0.09	0.30	0.37
3	16	0.47	0.63	0.62
3	17	0.46	0.51	0.36
3	18	0.84	0.78	0.97
3	22	0.70	0.10	0.68
3	26	0.69	0.93	0.98
3	38	0.82	0.37	0.95
3	41	0.30	0.37	0.60
3	43	0.39	0.80	0.45
3	45	0.36	0.90	0.47
3	50	0.54	0.84	0.82
3	59	1.00	0.47	0.48
3	63	0.29	0.22	0.94
3	72	0.90	0.90	0.61
3	73	0.74	0.36	0.21
3	80	0.72	0.56	0.53
3	88	0.30	0.42	0.62
3	89	0.79	0.14	0.37
3	93	0.39	0.51	0.58
3	105	0.03	0.25	0.27
3	111	0.77	0.01	0.99
3	124	0.16	0.09	0.16
3	128	0.97	0.09	0.44
3	133	0.02	0.87	0.56
3	139	0.00	0.89	0.70
3	149	0.13	0.84	0.13
3	153	0.39	0.29	0.96
3	163	0.43	0.08	0.91
3	166	0.20	0.86	0.67
3	169	0.58	0.27	0.24
3	173	0.36	0.32	0.66
3	186	0.97	0.18	0.45
3	197	0.86	0.21	0.48
3	210	0.27	0.24	0.99
4	14	0.27	0.52	0.23
4	18	0.22	0.05	0.84
4	26	0.63	0.60	0.96
4	29	0.63	0.26	0.32
4	38	0.94	0.14	0.34
4	42	0.51	0.01	0.22
4	43	0.78	0.71	0.12
4	48	0.65	0.60	0.65
4	50	0.74	0.49	0.44
4	67	0.62	0.02	0.02
4	68	0.78	0.95	0.85
4	71	0.97	0.40	0.49
4	94	0.96	0.60	0.17
4	107	0.31	0.06	0.60
4	108	0.69	0.82	0.33
4	120	0.29	0.46	0.17
4	121	0.82	0.18	0.82
4	139	0.66	0.80	0.98
4	151	0.66	0.42	0.80
4	158	0.75	0.91	0.31
4	167	0.13	0.81	0.88
4	169	0.81	0.58	0.60
4	171	0.25	0.12	0.55
4	174	0.87	0.25	0.28
4	182	0.78	0.18	0.96
4	183	0.33	0.16	0.68
4	184	0.77	0.78	0.22
4	188	0.15	0.93	0.97
4	192	0.85	0.03	0.37
4	195	0.13	0.56	0.85
