x	y
1	1
5.65685424949238	43.7132882161407
11.8446661165724	166.798539596845
45.254833995939	4389.98410254866
55.9016994374947	2175.61362870603
88.1816307401944	216
79.7022515231915	743.396635046377
181.019335983756	1305.15008237492
420.888346239237	199902.000332188
316.227766016838	19952.6231496888
730.852747899006	8383.91644301619
928.42842109554	702205.780892334
1157.02893210189	7770.46767151393
733.364847807693	175200.670229825
1714.94802502182	2352200.81403105
2048	17857168.4549794
2419.54962426329	6328582.01824646
2831.38801259711	128516.561031715
3285.28009691748	96076982.3389351
845.897010752451	59091.8394364854
4326.16481174086	2122361.33595659
4916.57164629281	245373.164271807
5555.86326813873	316654756.755512
6245.69704895125	172349721.081777
1397.54248593737	6222837.24148078
1526.47618430278	192719.408778631
3787.99511615314	738909.811061857
4148.53805574928	857724.723335666
10509.8010327833	66975.1034458175
4929.5030175465	124757.978406923
12625.3858030509	51326299.8897799
2435.49617152557	111177.089971475
6255.82872207991	588055075.603536
2791.43528159798	187118.260677737
7247.19773429703	484599263.181405
19047.232239882	1082836.65030483
20537.8388186832	765354723.469715
3585.19756171047	74076.9233760353
3800.9780865473	6880185.51710965
10119.2885125388	1786061668.26421
10763.6518431246	68921
4490.66753481851	28230218.7181639
